id,topic,question,relevance,faithfulness,completeness,clarity,kw_hit,src_hit,latency_ms,answer,sources,comment
bg_01,Bürgergeld,Який розмір виплат Bürgergeld для одинокої особи у 2024 році?,5,5,4,5,0.25,True,7958,"У 2024 році розмір виплат Bürgergeld для одинокої особи становитиме <b>502 єври</b> на місяць. Ця сума є основною для забезпечення мінімальних життєвих потреб.

Важливо зазначити, що ця сума може змінюватися в залежності від конкретних обставин, таких як додаткові доходи або особливі потреби. Якщо у вас є додаткові запитання або ви хочете дізнатися більше про умови отримання Bürgergeld, рекомендується звернутися до відповідних органів, таких як <i>Landesamt für Einwanderung (LEA)</i> у Берліні.","['asylbewerberleistungsgesetz.txt', 'sgb_ii.txt', 'sgb_xii.txt']","Відповідь є точною та зрозумілою, але могла б детальніше пояснити умови зміни виплат."
bg_02,Bürgergeld,Які документи потрібні для оформлення Bürgergeld?,5,5,5,5,0.2,False,5570,"Для оформлення Bürgergeld вам знадобляться наступні документи:

1. <b>Паспорт</</b> або інший документ, що підтверджує вашу особу.
2. <b>Дозвіл на тимчасове проживання</b> (Aufenthaltserlaubnis) відповідно до <code>§ 24</code> AufenthG.
3. <b>Договір оренди</b> або підтвердження місця проживання.
4. <b>Реквізити банківського рахунку</b> (Girokonto), на який будуть перераховуватися виплати.
5. <b>Документи, що підтверджують ваші доходи</b> (якщо є), наприклад, довідки про зарплату або соціальні виплати.

Крім того, вам може знадобитися заповнити анкету, яку надає Jobcenter, де ви будете подавати свою заявку на Bürgergeld.

Рекомендується звернутися до місцевого Jobcenter для отримання детальної інформації та уточнення, чи потрібні додаткові документи в вашому конкретному випадку.","['bqfg.txt', 'asylbewerberleistungsgesetz.txt', 'mindestlohngesetz.txt']","Відповідь є точною, повною та зрозумілою."
bg_03,Bürgergeld,"Чи можу я отримувати Bürgergeld, якщо маю тимчасовий захист §24?",5,5,5,5,0.5,True,6005,"Так, ви можете отримувати <b>Bürgergeld</b>, якщо маєте тимчасовий захист відповідно до <code>§ 24</code> AufenthG. Відповідно до цього закону, особи, яким надано тимчасовий захист, мають право на соціальні виплати, включаючи <b>Bürgergeld</b> відповідно до <code>SGB II</code>.

Основні умови для отримання <b>Bürgergeld</b> включають:

1. Ваша потреба в матеріальній підтримці (фінансові труднощі).
2. Реєстрація у відповідному <b>Jobcenter</b> для отримання допомоги.

Сума <b>Bürgergeld</b> залежить від вашої особистої ситуації, включаючи кількість членів сім'ї та їхній вік. Зазвичай, для однієї дорослої особи вона становить приблизно 502 євро на місяць (на 2023 рік).

Рекомендується звернутися до вашого місцевого <b>Jobcenter</b> для отримання детальної інформації про процедуру подачі заявки та конкретні суми виплат, які можуть бути вам призначені.","['bamf_instructions.txt', 'beschaeftigungsverordnung.txt', 'eu_directive_temporary_protection.txt', 'sgb_xii.txt', 'aufenthaltsgesetz.txt']","Відповідь є точною, повною та зрозумілою."
bg_04,Bürgergeld,Як розраховується допомога на житло в рамках SGB II?,5,5,5,5,0.0,True,8948,"Допомога на житло в рамках <code>SGB II</code> розраховується на основі кількох факторів, зокрема:

1. **Витрати на житло**: Визначаються фактичні витрати на оренду житла, які включають основну орендну плату та витрати на комунальні послуги. Згідно з <code>§ 22 SGB II</code>, ці витрати повинні бути ""необхідними"" та ""адекватними"".

2. **Місцевий ринок житла**: Розрахунок також враховує місцеві умови ринку житла, зокрема, середні ціни на оренду в даному регіоні. Якщо на ринку є достатня кількість доступного житла, органи соціального захисту можуть встановити фіксовані ставки для витрат на житло.

3. **Сімейний стан**: Розмір допомоги може залежати від кількості осіб у домогосподарстві, їх віку та стану здоров'я. Це означає, що для сімей з дітьми або особами з обмеженими можливостями можуть бути передбачені вищі ставки.

4. **Порядок подачі заяви**: Для отримання допомоги на житло необхідно подати заяву до відповідного органу, який перевірить всі надані документи та визначить право на допомогу.

Згідно з <code>§ 22 SGB II</code>, якщо витрати на житло перевищують встановлені норми, особа може отримати допомогу лише в межах цих норм. Це означає, що важливо знати, які саме суми вважаються адекватними у вашому регіоні.

Якщо у вас є конкретні питання щодо вашої ситуації або вам потрібна допомога в подачі документів, рекомендується звернутися до місцевого органу соціального захисту або до консультаційних центрів.","['wohngeldgesetz.txt', 'sgb_xii.txt', 'bkgg.txt']","Відповідь є точною, повною та зрозумілою."
res_01,Aufenthaltstitel,Що таке Aufenthaltserlaubnis §24 і хто має на нього право?,5,5,5,5,0.2,True,7570,"<b>Aufenthaltserlaubnis § 24</b> — це тимчасовий дозвіл на проживання, який надається особам, які втекли з України через війну та потребують захисту. Цей статус був введений відповідно до <code>§ 24</code> Закону про перебування (Aufenthaltsgesetz) і надає певні права та можливості.

Право на отримання <b>Aufenthaltserlaubnis § 24</b> мають:

1. Громадяни України, які покинули країну після 24 лютого 2022 року через збройний конфлікт.
2. Члени сімей громадян України, які також потребують захисту.
3. Особи, які не є громадянами України, але мали постійне місце проживання в Україні і втекли через війну.

Цей статус надає такі права:

- Право на проживання в Німеччині.
- Право на роботу без необхідності отримання окремого дозволу.
- Доступ до соціальних виплат, таких як <b>Bürgergeld</b> (SGB II).
- Медичне страхування через <b>GKV</b> (загальне медичне страхування).
- Доступ до освіти.

Таким чином, <b>Aufenthaltserlaubnis § 24</b> є важливим інструментом для підтримки осіб, які постраждали від війни в Україні, надаючи їм необхідні права та можливості для адаптації в Німеччині.","['asylgesetz.txt', 'sgb_iii.txt', 'sgb_xii.txt', 'sgb_ii.txt', 'aufenthaltsgesetz.txt']","Відповідь є точною, повною та зрозумілою."
res_02,Aufenthaltstitel,Як продовжити дозвіл на проживання §24 після закінчення терміну?,5,5,5,5,0.25,True,8107,"Щоб продовжити дозвіл на проживання відповідно до <code>§ 24</code> AufenthG (Закон про перебування), вам потрібно дотримуватися наступних кроків:

1. **Збір документів**: Зберіть усі необхідні документи, які підтверджують вашу особу, статус, а також причини для продовження перебування. Це можуть бути документи, що підтверджують ваше місце проживання, фінансову спроможність, медичне страхування тощо.

2. **Подання заявки**: Заявку на продовження дозволу на проживання потрібно подати до відповідного імміграційного офісу (Ausländerbehörde) у вашому районі. Рекомендується робити це заздалегідь, до закінчення терміну дії вашого поточного дозволу.

3. **Сплата зборів**: Можливо, вам потрібно буде сплатити адміністративний збір за обробку вашої заявки на продовження.

4. **Очікування рішення**: Після подання заявки вам потрібно буде дочекатися рішення від імміграційного офісу. У разі необхідності, можуть бути призначені додаткові співбесіди або запити на додаткову інформацію.

Згідно з <code>§ 8</code> AufenthG, правила для продовження дозволу на проживання є такими ж, як і для його первісного отримання. Тобто, якщо ви відповідаєте всім вимогам, ваше перебування може бути продовжено.

Якщо у вас виникають питання або потрібна допомога, зверніться до консультаційних центрів для біженців або іммігрантів у вашому регіоні, які можуть надати безкоштовні консультації.","['wohngeldgesetz.txt', 'sgb_ii.txt', 'aufenthaltsgesetz.txt', 'sgb_v.txt']","Відповідь є точною, повною та зрозумілою."
res_03,Aufenthaltstitel,Яка різниця між тимчасовим захистом і статусом біженця в Німеччині?,5,5,5,5,0.17,True,16032,"У Німеччині існує кілька ключових відмінностей між тимчасовим захистом і статусом біженця:

1. **Підстави для надання**:
   - **Статус біженця** надається особам, які мають обґрунтовані побоювання переслідування у своїй країні через расу, релігію, національність, політичні переконання або належність до певної соціальної групи. Це регулюється <code>§ 3</code> Закону про біженців (Asylgesetz).
   - **Тимчасовий захист** надається у випадках масового напливу біженців, наприклад, під час війни або гуманітарних криз. Це регулюється директивами Європейського Союзу і надається на коротший термін, щоб забезпечити термінову допомогу.

2. **Тривалість**:
   - **Статус біженця** зазвичай надається на тривалий термін (до 3 років з можливістю продовження), якщо обставини не змінюються.
   - **Тимчасовий захист** є короткостроковим і може бути продовжений, але його термін зазвичай обмежений (наприклад, до 1-2 років).

3. **Права та обов'язки**:
   - Особи зі статусом біженця мають більше прав, включаючи право на роботу, соціальні виплати та можливість отримати постійний дозвіл на проживання після певного часу.
   - Особи з тимчасовим захистом можуть мати обмежений доступ до ринку праці та соціальних послуг, залежно від конкретних умов, встановлених владою.

4. **Процедура отримання**:
   - Процедура отримання статусу біженця є більш складною і вимагає подачі заяви до Федерального відомства з питань міграції та біженців (BAMF).
   - Тимчасовий захист може бути наданий швидше, без необхідності проходження тривалої процедури розгляду.

Ці відмінності важливі для розуміння правового статусу осіб, які шукають захист у Німеччині, і можуть впливати на їхні можливості інтеграції в суспільство.","['aufenthaltsgesetz.txt', 'asylgesetz.txt', 'asylbewerberleistungsgesetz.txt']","Відповідь є точною, повною та зрозумілою."
res_04,Aufenthaltstitel,Чи може власник §24 подати заяву на постійне місце проживання (Niederlassungserlaubnis)?,5,5,5,5,0.5,True,6242,"Власник статусу тимчасового захисту відповідно до <code>§ 24</code> AufenthG може подати заяву на постійне місце проживання (Niederlassungserlaubnis), але для цього потрібно виконати певні умови.

Згідно з німецьким законодавством, основні умови для отримання Niederlassungserlaubnis включають:

1. **Тривалість перебування**: Зазвичай потрібно прожити в Німеччині не менше 33 місяців з дозволом на проживання, але цей термін може бути скорочений до 21 місяця, якщо ви володієте достатніми знаннями німецької мови (на рівні B1).

2. **Фінансова стабільність**: Вам потрібно продемонструвати, що ви маєте стабільний дохід, який дозволяє вам забезпечити себе та, за потреби, своїх членів сім'ї.

3. **Відомості про житло**: Необхідно мати належне житло, яке відповідає вимогам.

4. **Відсутність кримінального минулого**: Важливо, щоб у вас не було серйозних правопорушень.

Оскільки ви маєте статус тимчасового захисту, рекомендується звернутися до <b>Landesamt für Einwanderung (LEA)</b> або до консультаційних центрів, щоб отримати детальну інформацію про вашу конкретну ситуацію та можливості подачі заяви.","['wohngeldgesetz.txt', 'sgb_ii.txt', 'aufenthaltsgesetz.txt']","Відповідь є точною, повною та зрозумілою."
emp_01,Працевлаштування,Чи можу я працювати в Німеччині з дозволом §24?,5,5,5,5,0.0,True,3740,"Так, ви можете працювати в Німеччині з дозволом <code>§ 24</code> AufenthG. Згідно з інформацією, наданою в документі, ви маєте <b>повний і необмежений доступ до ринку праці</b>, що означає, що вам не потрібен окремий дозвіл на роботу. 

Цей статус дозволяє вам також займатися <b>самостійною діяльністю</b>. Ви можете працювати в будь-якій сфері, яка вас цікавить, без додаткових обмежень.

Якщо у вас виникають питання щодо конкретних умов трудового договору або мінімальної зарплати, ви можете звернутися до консультаційних центрів у вашому регіоні, таких як у Дюссельдорфі, Кельні або Дортмунді, де вам можуть надати додаткову інформацію.","['aufenthaltsgesetz.txt', 'bamf_instructions.txt']","Відповідь є точною, повною та зрозумілою."
emp_02,Працевлаштування,Яка мінімальна зарплата в Німеччині у 2024 році?,5,5,4,5,0.5,True,5422,"Мінімальна зарплата в Німеччині у 2024 році становитиме <b>12,41 євро</b> за годину. Це відповідає нормам, викладеним у <code>§ 1</code> Закону про мінімальну заробітну плату (Mindestlohngesetz). 

Зверніть увагу, що ця сума є брутто, тобто до вирахування податків і соціальних внесків. Для порівняння, в Україні мінімальна заробітна плата розраховується по-іншому, і в ній враховуються лише податки, без додаткових соціальних внесків, які є в Німеччині.","['sgb_iii.txt', 'mindestlohngesetz.txt', 'aufenthaltsgesetz.txt']","Відповідь є точною та зрозумілою, але могла б детальніше пояснити контекст мінімальної зарплати."
