id,topic,question,relevance,faithfulness,completeness,clarity,kw_hit,latency_ms,answer,comment
bg_01,Bürgergeld,Який розмір виплат Bürgergeld для одинокої особи у 2024 році?,5,5,5,5,0.5,3398,"У 2024 році розмір виплат Bürgergeld для одинокої особи в Німеччині становитиме 563 євро на місяць. Ця сума може бути збільшена в разі наявності додаткових потреб, таких як витрати на житло або особливі потреби.

Також важливо враховувати, що можуть бути додаткові виплати на дітей або інші члени сім'ї, якщо ви їх утримуєте. Рекомендується звернутися до місцевого соціального відомства (Jobcenter) для отримання детальної інформації та консультацій щодо вашої конкретної ситуації.","Відповідь є точною, повною та зрозумілою."
bg_02,Bürgergeld,Які документи потрібні для оформлення Bürgergeld?,5,5,5,5,0.2,4494,"Для оформлення Bürgergeld (громадянської допомоги) в Німеччині, вам знадобляться наступні документи:

1. **Посвідчення особи**:
   - Паспорт або посвідка на проживання (в вашому випадку — документ, що підтверджує статус тимчасового захисту).

2. **Докази доходів**:
   - Документи, що підтверджують ваші доходи (якщо є), наприклад, зарплатні відомості, довідки про соціальні виплати тощо.

3. **Докази витрат**:
   - Копії рахунків за оренду, комунальні послуги, медичне страхування та інші регулярні витрати.

4. **Дані про сімейний стан**:
   - Інформація про членів сім'ї, які проживають з вами, включаючи їхні документи (паспорти, свідоцтва про народження дітей тощо).

5. **Банківські реквізити**:
   - Номер вашого банківського рахунку для отримання виплат.

6. **Заповнена анкета**:
   - Анкета для подачі заявки на Bürgergeld, яку можна отримати в місцевому управлінні соціальних справ (Jobcenter).

Рекомендується також звернутися до місцевого Jobcenter для отримання детальної інформації та перевірки, чи потрібні додаткові документи у вашому конкретному випадку.","Відповідь є точною, повною та зрозумілою."
bg_03,Bürgergeld,"Чи можу я отримувати Bürgergeld, якщо маю тимчасовий захист §24?",5,5,5,5,0.75,4124,"Так, ви можете отримувати Bürgergeld, якщо маєте статус тимчасового захисту відповідно до §24 Закону про перебування (Aufenthaltsgesetz). Ось кілька важливих моментів:

1. **Право на соціальні виплати**: Особи, які мають тимчасовий захист, мають право на соціальні виплати, такі як Bürgergeld, за умови, що вони відповідають іншим вимогам (наприклад, щодо доходу та майна).

2. **Подання заявки**: Вам потрібно подати заявку на Bürgergeld у місцевий центр зайнятості (Jobcenter). Для цього підготуйте необхідні документи, такі як посвідчення особи, документи, що підтверджують ваш статус тимчасового захисту, а також інформацію про ваші фінансові умови.

3. **Консультації**: Рекомендується звернутися до соціальних служб або організацій, які підтримують біженців, для отримання додаткової інформації та допомоги в процесі подання заявки.

Якщо у вас є додаткові питання або потрібна допомога, не соромтеся запитувати!","Відповідь є точною, повною та зрозумілою."
bg_04,Bürgergeld,Як розраховується допомога на житло в рамках SGB II?,5,5,5,5,0.0,5244,"Допомога на житло в рамках SGB II (Соціальний кодекс II) в Німеччині розраховується на основі кількох факторів. Ось основні моменти, які варто врахувати:

1. **Витрати на житло**: 
   - Включаються витрати на оренду (плата за квартиру) та витрати на комунальні послуги (електрика, вода, опалення тощо).
   - Витрати на житло повинні бути розумними та відповідати стандартам, встановленим у вашому регіоні.

2. **Розмір допомоги**:
   - Розмір допомоги на житло залежить від кількості осіб у домогосподарстві та середньої вартості оренди в регіоні.
   - У Гамбурзі існують специфічні ліміти на витрати на житло, які можуть змінюватися в залежності від місця проживання.

3. **Документація**:
   - Вам потрібно надати документи, що підтверджують ваші витрати на житло, такі як договір оренди та рахунки за комунальні послуги.

4. **Перегляд**:
   - Витрати на житло можуть бути переглянуті, якщо ви змінюєте місце проживання або якщо ваші фінансові обставини змінюються.

5. **Заявка**:
   - Щоб отримати допомогу, потрібно подати заявку до місцевого відомства з соціальних питань (Jobcenter).

Рекомендується звернутися до вашого місцевого Jobcenter для отримання детальної інформації та консультацій, оскільки правила можуть змінюватися і можуть бути специфічні для вашого випадку.","Відповідь є точною, повною та зрозумілою."
res_01,Aufenthaltstitel,Що таке Aufenthaltserlaubnis §24 і хто має на нього право?,5,5,5,5,0.4,7705,"Aufenthaltserlaubnis §24 — це вид дозволу на проживання в Німеччині, який надається особам, які втекли з України через війну, відповідно до спеціальних умов, встановлених німецьким законодавством. Цей дозвіл надає можливість легального перебування в Німеччині, доступ до соціальних послуг, медичного обслуговування та можливість працювати.

### Хто має право на Aufenthaltserlaubnis §24?

1. **Громадяни України**: Особи, які є громадянами України і втекли з країни через збройний конфлікт, що почався 24 лютого 2022 року.
  
2. **Члени сімей**: Члени сімей громадян України, які також втекли з України, можуть отримати цей статус.

3. **Особи без громадянства**: Особи, які не мають громадянства, але постійно проживали в Україні на момент початку конфлікту.

### Умови для отримання:

- Необхідно підтвердити, що ви втекли з України через війну.
- Потрібно подати заяву на отримання дозволу на проживання в місцевому відомстві у справах іноземців (Ausländerbehörde).

### Переваги Aufenthaltserlaubnis §24:

- Легальне перебування в Німеччині.
- Доступ до ринку праці.
- Соціальні виплати та медичне обслуговування.

Якщо у вас є додаткові питання або потрібна допомога з оформленням, не соромтеся звертатися!","Відповідь є точною, повною та зрозумілою."
res_02,Aufenthaltstitel,Як продовжити дозвіл на проживання §24 після закінчення терміну?,5,5,5,5,0.25,7515,"Для продовження дозволу на проживання за § 24 Закону про перебування (Aufenthaltsgesetz) в Німеччині, вам потрібно виконати кілька кроків. Ось структурований план дій:

1. **Перевірте терміни**: Заздалегідь дізнайтеся, коли закінчується ваш поточний дозвіл на проживання. Рекомендується почати процес продовження за кілька місяців до закінчення терміну.

2. **Зберіть необхідні документи**:
   - Паспорт або інший документ, що посвідчує особу.
   - Докази вашого місця проживання (наприклад, договір оренди).
   - Докази вашого фінансового становища (наприклад, виписки з банку, довідки про доходи).
   - Медична страховка (якщо є зміни).
   - Інші документи, які можуть підтвердити вашу ситуацію (наприклад, документи про навчання, роботу, участь у курсах).

3. **Запишіться на прийом**: Зверніться до місцевого відомства у справах іноземців (Ausländerbehörde) у вашому регіоні (NRW) для запису на прийом. Це можна зробити через їхній веб-сайт або по телефону.

4. **Подайте заяву на продовження**: На прийомі подайте всі зібрані документи та заповнену заяву на продовження дозволу на проживання. Вам можуть задати додаткові питання про вашу ситуацію.

5. **Очікуйте на рішення**: Після подачі заяви вам потрібно буде чекати на рішення від відомства. У разі необхідності, ви можете отримати тимчасовий дозвіл на проживання до отримання остаточного рішення.

6. **Отримайте новий дозвіл**: Якщо ваша заява буде схвалена, ви отримаєте новий дозвіл на проживання. Переконайтеся, що перевірили всі дані на документі.

7. **У разі відмови**: Якщо ваша заява буде відхилена, ви маєте право на оскарження рішення. Рекомендується звернутися за юридичною допомогою.

Якщо у вас є додаткові питання або потрібна допомога, не соромтеся звертатися до юриста або організацій, які підтримують українців у Німеччині.","Відповідь є детальною, структурованою та відповідає на запитання."
res_03,Aufenthaltstitel,Яка різниця між тимчасовим захистом і статусом біженця в Німеччині?,5,5,5,5,0.17,9184,"У Німеччині існує кілька форм захисту для осіб, які шукають притулок. Основні відмінності між тимчасовим захистом і статусом біженця:

### 1. **Тимчасовий захист (Aufenthaltserlaubnis nach § 24 AufenthG)**:
- **Призначення**: Тимчасовий захист надається особам, які втікають від війни або масових порушень прав людини, зокрема, у випадках, коли їхня країна є в кризовій ситуації (наприклад, війна в Україні).
- **Тривалість**: Зазвичай надається на обмежений термін, який може бути продовжений залежно від ситуації в країні походження.
- **Права**: Особи, які отримали тимчасовий захист, мають право на проживання, доступ до медичної допомоги, освіти та можливість працювати.

### 2. **Статус біженця (Flüchtlingsstatus)**:
- **Призначення**: Надається особам, які переслідуються в своїй країні через расу, релігію, національність, політичні переконання або належність до певної соціальної групи.
- **Тривалість**: Статус біженця надається на 3 роки, після чого може бути продовжений або перетворений на постійний статус.
- **Права**: Особи зі статусом біженця мають аналогічні права, як і ті, хто отримав тимчасовий захист, але можуть також мати доступ до додаткових соціальних пільг.

### Основні відмінності:
- **Причини надання**: Тимчасовий захист надається в умовах масових криз, тоді як статус біженця — у випадках індивідуального переслідування.
- **Тривалість та стабільність**: Статус біженця зазвичай є більш стабільним і довгостроковим, тоді як тимчасовий захист може бути обмежений у часі.

### Висновок:
Ваш правовий статус як шукача притулку може вплинути на те, який вид захисту ви отримаєте. Важливо звертатися до відповідних органів для отримання детальної інформації про ваші права та можливості.","Відповідь є точною, повною та зрозумілою."
res_04,Aufenthaltstitel,Чи може власник §24 подати заяву на постійне місце проживання (Niederlassungserlaubnis)?,5,5,5,5,0.25,5853,"Так, власники статусу тимчасового захисту (temporary protection) в Німеччині можуть подати заяву на отримання постійного місця проживання (Niederlassungserlaubnis) за певних умов. Ось основні моменти, які слід врахувати:

1. **Тривалість перебування**: Зазвичай, для отримання Niederlassungserlaubnis потрібно прожити в Німеччині не менше 33 місяців з дозволом на перебування. Якщо ви володієте знаннями німецької мови на рівні B1, цей термін може бути скорочений до 21 місяця.

2. **Фінансова стабільність**: Вам потрібно довести, що ви маєте стабільний дохід, який дозволяє вам забезпечувати себе та своїх утриманців.

3. **Відомості про житло**: Ви повинні мати відповідне житло, яке відповідає вимогам для проживання.

4. **Відсутність кримінальних правопорушень**: Ваша поведінка не повинна бути пов'язана з кримінальними правопорушеннями.

5. **Знання німецької мови**: Знання мови є важливим критерієм для отримання постійного місця проживання.

Рекомендується звернутися до місцевого відомства з питань імміграції (Ausländerbehörde) для отримання детальної інформації та консультацій щодо вашої конкретної ситуації.","Відповідь є точною, повною та зрозумілою."
emp_01,Працевлаштування,Чи можу я працювати в Німеччині з дозволом §24?,5,5,5,5,0.2,3281,"Так, ви можете працювати в Німеччині з дозволом на тимчасовий захист відповідно до §24 Закону про перебування (Aufenthaltsgesetz). Ось основні моменти:

1. **Право на працю**: Особи, які отримали тимчасовий захист, мають право на працю без додаткових дозволів. Це стосується як роботи на повний, так і на частковий робочий день.

2. **Реєстрація**: Вам потрібно зареєструватися у місцевому центрі зайнятості (Jobcenter) або агентстві з працевлаштування (Agentur für Arbeit), щоб отримати доступ до інформації про вакансії та можливості навчання.

3. **Соціальні виплати**: Якщо ви працюєте, ви можете мати право на соціальні виплати, але це залежить від вашого доходу та інших факторів.

4. **Обмеження**: У деяких випадках можуть бути обмеження на певні професії, але загалом ви маєте широкий доступ до ринку праці.

Якщо у вас є додаткові питання або потрібна допомога з конкретними аспектами працевлаштування, не соромтеся звертатися!","Відповідь є точною, повною та зрозумілою."
emp_02,Працевлаштування,Яка мінімальна зарплата в Німеччині у 2024 році?,5,5,5,5,0.0,3661,"У 2024 році мінімальна зарплата в Німеччині становитиме 12 євро на годину. Це означає, що для повного робочого дня (близько 40 годин на тиждень) мінімальна місячна зарплата складе приблизно 2,080 євро брутто.

Зверніть увагу, що це загальна інформація, і фактична зарплата може змінюватися в залежності від галузі, регіону та інших факторів. Якщо у вас є конкретні питання щодо вашої ситуації, не соромтеся запитувати!","Відповідь є точною, повною та зрозумілою."
